__time,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
1729518918.74103,0.571419517,0.002628254,0.022094447,0.820356374,15.663982391,36.675834656,-1.945162177,2.065056621422019,0.04890462104378757
1729518920.9519,0.56561879,-0.001131982,0.020506489,0.824411076,14.838100433,38.543777466,-2.025572062,2.042373949594104,0.029150799982641626
1729518923.07375,0.530901942,0.00367762,0.016056781,0.847273053,14.029741287,40.392314911,-2.022497177,2.0175567388524587,0.03085096688452768
1729518925.49049,0.534884356,0.002846812,0.012280621,0.84483118,12.890856743,42.498657227,-2.075049877,2.3945220727181327,0.030573393017930817
1729518927.54654,0.540979818,0.006462897,0.015668856,0.8408647,11.940526009,44.375453949,-2.11602664,2.1036859175492206,0.014525208466527842
1729518929.49272,0.532204808,0.005588917,0.011943611,0.846512957,10.95911026,46.16204071,-2.116952658,2.0383986673282806,0.018119319608121888
1729518931.26237,0.530181448,0.001125236,0.016285581,0.847727072,10.037521362,47.955303192,-2.145397663,2.0162133880781727,0.026283261232279805
1729518933.1903,0.574651289,0.015246168,0.009874905,0.818196745,9.144259453,49.839332581,-2.151604891,2.0850620078755524,0.0572098472046011
1729518935.29653,0.61752503,-0.002317073,0.027368249,0.786071524,8.452245712,52.133640289,-2.216674089,2.3963995653315036,0.39269010364653084
1729518937.09847,0.601218664,0.00113171,0.016469506,0.798913968,7.737264156,54.09778595,-2.251628637,2.090231279797841,0.18725887225543014
1729518938.51527,0.623600409,0.012836276,0.009476055,0.781580422,7.402405739,55.295307159,-2.294459343,1.2434577618240814,0.5822216198727628
1729518940.43312,0.508718145,0.004785469,0.025587834,0.860539426,7.703805447,56.686229706,-2.397215605,1.4232031884925846,0.3517212246291025
1729518941.53826,0.391392313,0.026009008,0.011788759,0.919780704,6.946929932,57.7514534,-2.387552023,1.3067371822465024,0.34178579816143995
1729518942.29843,0.279466058,0.021271616,0.022260722,0.959661753,4.974113941,58.279380798,-2.289864779,2.0422316890853396,0.298529389115027
1729518944.3982,0.179885759,0.018800655,0.018078314,0.983341651,3.15535593,59.338176727,-2.238758564,2.10450220286025,0.15703953475689927
1729518946.77755,0.064622739,0.034429984,0.011991499,0.997243539,1.272333741,59.32837677,-2.098738194,1.8830476901617637,0.5589317009047551
1729518948.72915,0.065580029,0.021766508,0.010852078,0.997550841,-0.796253383,59.637355804,-2.086292982,2.091535496478644,0.03825948750634037
1729518950.42314,0.058054093,0.026713168,0.012701161,0.997875139,-2.797713041,59.773715973,-1.967579365,2.006099413860436,0.028588888205268757
1729518952.23348,0.083512003,0.027057359,0.017849991,0.995979422,-4.834127426,59.992530823,-1.906278729,2.0481365887106873,0.027170714240420994
1729518954.04451,0.131800257,0.020332468,0.013157556,0.990980405,-6.851556301,60.255840302,-1.844781041,2.034539541865681,0.0263260369274507
1729518955.85848,0.119915316,0.017417593,0.013623962,0.992537835,-8.975720406,60.733745575,-1.77960968,2.1772612601457957,0.04452843715841666
1729518957.6901,0.046248916,0.028242803,0.012161536,0.998456546,-11.031785011,60.953521729,-1.698052049,2.0677773617584743,0.034536200044486216
1729518959.48876,0.051410813,0.029302098,0.017796153,0.998088978,-13.117851257,61.189376831,-1.600256324,2.0993570472504097,0.02591713563182445
1729518961.21,0.011973467,0.03436969,0.010976838,0.999277159,-15.150961876,61.26815033,-1.496281028,2.034636098479349,0.047619101165107744
1729518963.03103,0.040020248,0.021994826,0.022929094,0.998693589,-17.195222855,61.382720947,-1.387616277,2.0474690172361103,0.04591569882191032
1729518964.94481,0.103835336,0.024770391,0.015719594,0.994161722,-19.240228653,61.57144165,-1.303116441,2.053695259183899,0.08338016450402284
1729518966.64863,0.222480945,0.020893339,0.022927323,0.974443425,-21.16075325,62.182209015,-1.236936331,2.015304319905819,0.07757741523277262
1729518968.37546,0.243694324,0.015462063,0.022789208,0.969461003,-22.98441124,63.092456818,-1.20262301,2.038204976776668,0.073866704079483
1729518970.08477,0.188814745,0.010935166,0.019034019,0.981767349,-24.890089035,63.875415802,-1.178314209,2.060250622856929,0.03814490014591333
1729518971.98881,0.230895631,0.015881166,0.015779884,0.972720906,-26.778150558,64.712135315,-1.109272122,2.065157586739578,0.09214700563412802
