,__time,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
0,1729518868.39094,0.99935944,-0.025428715,0.021288374,-0.013448196,-0.008703558,-0.030379407,0.031612452,0.0,0.5771105799647684
1,1729518869.96735,0.998325287,-0.0172647,0.013645916,0.053500883,0.414439082,-0.007312459,0.022296602,0.42377090258322875,0.25939380617683283
2,1729518871.74082,0.980393958,-0.015612017,0.025673699,0.19474297,1.148992538,0.23800537,-0.059824321,0.7744350308107304,1.0193382036200793
3,1729518873.05742,0.992886042,-0.019465957,0.013562469,0.116680895,1.906208754,0.54189229,-0.071720533,0.8159189040097338,0.21068864006572002
4,1729518876.58442,0.974125293,-0.009741606,0.020326985,0.224881855,4.58550024,1.609450817,-0.264947027,2.8841435601444148,0.11231150968715183
5,1729518879.10394,0.90780878,-0.006194395,0.021573829,0.418783236,6.265598297,2.779338121,-0.360385805,2.047282536729009,0.18682348714240896
6,1729518883.6366,0.857108361,-0.006337554,0.017936619,0.514784774,8.325424194,6.251015663,-0.55726546,4.0367595521134305,0.3579676630806327
7,1729518889.69108,0.897944531,-0.009895751,0.024373728,0.439321732,11.136342049,11.223574638,-0.849768817,5.712057593145473,0.14087703659536
8,1729518899.3701,0.8532858,-0.014181262,0.024416794,0.520678463,15.45436573,19.249025345,-1.295835853,9.113352158243616,0.05390954377520467
9,1729518907.97298,0.736064163,-0.001732704,0.020517411,0.676598534,17.163248062,26.813272476,-1.60858345,7.754876754885504,0.05150658271448336
10,1729518917.56231,0.613413799,0.002271892,0.020181438,0.78950049,16.018318176,35.618049622,-1.930285573,8.878905621447942,0.045296580363209236
11,1729518928.82774,0.504582314,0.010617542,0.013218745,0.863197027,11.275262833,45.593978882,-2.109993458,11.04607344658205,0.039204112106161586
12,1729518935.38984,0.613003303,0.00027493,0.025162553,0.7896795,8.422970772,52.246200562,-2.245942354,7.237929488541982,0.4615006123135639
13,1729518937.62323,0.624232459,0.001931834,0.015691355,0.781078683,7.586957932,54.657749176,-2.27655983,2.5523487587573546,0.20234171809155463
14,1729518938.84064,0.602329038,0.00207971,0.016065307,0.798083501,7.238389969,55.740276337,-2.324883699,1.1372619219567133,0.4299351533968034
15,1729518940.9782,0.458583569,0.014445651,0.020638317,0.88829414,7.763617992,57.234214783,-2.408991098,1.5835771394477087,0.3485706202625024
16,1729518941.86662,0.371004032,0.02553126,0.015442754,0.928151754,6.696168423,57.842330933,-2.383079767,1.2285169246897296,0.32510749348812107
17,1729518944.47028,0.158271651,0.019708231,0.017391541,0.987045699,3.061424732,59.359169006,-2.252255678,3.938547884559316,0.15778662374301225
18,1729518946.77755,0.064622739,0.034429984,0.011991499,0.997243539,1.272333741,59.32837677,-2.098738194,1.7893559556095153,0.5589317009047153
19,1729518953.35444,0.075130571,0.028709364,0.018088298,0.996596183,-6.10691452,60.147861481,-1.886971354,7.4246117803582345,0.02954355025893621
20,1729518963.24147,0.03188392,0.014915617,0.024980511,0.999068012,-17.470926285,61.410373688,-1.376316905,11.43392760462836,0.05563240904744465
21,1729518970.39869,0.19610558,0.018576058,0.019270833,0.980217411,-25.212882996,63.991500854,-1.164802551,8.160889115902823,0.039527763741814735
22,1729518974.2124,0.063726366,0.024936764,0.014631165,0.997548518,-28.899049759,65.245475769,-1.07516551,3.8936202295672255,0.21749154506306034
23,1729518976.22933,-0.163832512,0.033539655,0.009838916,0.985868736,-31.114179611,64.95400238,-0.934375823,2.234224025857005,0.24439822279030105
24,1729518978.66538,-0.49037423,0.035896906,0.00104517,0.870771716,-32.791786194,63.393573761,-0.810501397,2.291135378435589,0.20672499236718284
25,1729518982.70005,0.676592046,-0.035756,0.001430596,-0.735488052,-33.925865173,59.576286316,-0.639310777,3.9821876611184837,0.08507707055507202
26,1729518990.44932,0.726818051,-0.037688112,0.001631938,-0.685793288,-33.68151474,50.651546478,-0.29076159,8.928084246359438,0.06305118764531495
27,1729518998.1281,0.739018666,-0.03260299,0.001733808,-0.672893351,-33.18793869,41.802303314,0.124912292,8.86299734247587,0.020762875090572928
28,1729519003.25239,0.716626433,-0.039976818,-0.001205452,-0.696309508,-32.02438736,36.051361084,0.301578254,5.867468639059108,0.09740288366843965
29,1729519005.67867,0.752375041,-0.040374101,-0.00017083,-0.657496513,-31.860433578,33.330104828,0.398724675,2.7261908321779718,0.48493872843289
30,1729519010.12866,0.716762557,-0.040206978,0.002064986,-0.69615413,-31.560926437,28.437772751,0.545183539,4.901491372955088,0.04000185226020219
31,1729519023.23225,0.619725024,-0.037014497,0.000166988,-0.78394563,-34.272254944,13.838149071,1.216659904,14.849252973482793,0.06306535165922043
32,1729519026.8585,0.683515189,-0.036670928,0.004095036,-0.729003065,-34.56893158,9.686798096,1.365427494,4.161938483925696,0.06260563580873682
33,1729519033.74868,0.672201104,-0.036493228,0.006703584,-0.739438296,-34.647411346,2.365168333,1.654083014,7.322050359026416,0.17025464383140862
34,1729519038.34994,0.777611442,-0.038797145,0.004827432,-0.627528411,-34.468070984,0.019274933,1.772467613,2.352738576554108,0.06255322110051564
35,1729519041.62648,0.840451447,-0.038369799,0.015203034,-0.540312852,-33.691551208,-3.179515123,1.872886539,3.2916926929595927,0.2639502264279348
36,1729519042.9024,0.954735607,-0.031105169,0.019910077,-0.295154133,-32.816120148,-4.193887234,1.855309486,1.339899369500305,0.2603733380031256
37,1729519046.53352,0.999299616,-0.022978482,0.024629178,-0.016297466,-28.758958817,-4.842021942,1.679171443,4.1086051970803865,0.06302165713699612
38,1729519055.60815,0.99949078,-0.024522119,0.019938641,-0.004391432,-18.315736771,-4.331079006,1.141277671,10.455713719584555,0.058781005633885865
